"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - test_returned_episode_returns","pqn_Breakout-MinAtar - test_returned_episode_returns__MIN","pqn_Breakout-MinAtar - test_returned_episode_returns__MAX"
"1880064","459","459","459","8.454179763793945","8.454179763793945","8.454179763793945"
"1884160","460","460","460","8.454179763793945","8.454179763793945","8.454179763793945"
"1888256","461","461","461","8.454179763793945","8.454179763793945","8.454179763793945"
"1892352","462","462","462","8.454179763793945","8.454179763793945","8.454179763793945"
"1896448","463","463","463","8.454179763793945","8.454179763793945","8.454179763793945"
"1900544","464","464","464","8.454179763793945","8.454179763793945","8.454179763793945"
"1904640","465","465","465","8.454179763793945","8.454179763793945","8.454179763793945"
"1908736","466","466","466","8.454179763793945","8.454179763793945","8.454179763793945"
"1912832","467","467","467","8.454179763793945","8.454179763793945","8.454179763793945"
"1916928","468","468","468","8.454179763793945","8.454179763793945","8.454179763793945"
"1921024","469","469","469","8.454179763793945","8.454179763793945","8.454179763793945"
"1925120","470","470","470","8.454179763793945","8.454179763793945","8.454179763793945"
"1929216","471","471","471","8.454179763793945","8.454179763793945","8.454179763793945"
"1933312","472","472","472","8.454179763793945","8.454179763793945","8.454179763793945"
"1937408","473","473","473","8.454179763793945","8.454179763793945","8.454179763793945"
"1941504","474","474","474","8.454179763793945","8.454179763793945","8.454179763793945"
"1945600","475","475","475","8.454179763793945","8.454179763793945","8.454179763793945"
"1949696","476","476","476","8.454179763793945","8.454179763793945","8.454179763793945"
"1953792","477","477","477","8.454179763793945","8.454179763793945","8.454179763793945"
"1957888","478","478","478","8.454179763793945","8.454179763793945","8.454179763793945"
"1961984","479","479","479","8.454179763793945","8.454179763793945","8.454179763793945"
"1966080","480","480","480","8.454179763793945","8.454179763793945","8.454179763793945"
"1970176","481","481","481","8.454179763793945","8.454179763793945","8.454179763793945"
"1974272","482","482","482","8.454179763793945","8.454179763793945","8.454179763793945"
