"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MAX"
"1032192","252","252","252","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1036288","253","253","253","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1040384","254","254","254","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1044480","255","255","255","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1048576","256","256","256","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1052672","257","257","257","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1056768","258","258","258","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1060864","259","259","259","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1064960","260","260","260","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1069056","261","261","261","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1073152","262","262","262","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1077248","263","263","263","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1081344","264","264","264","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1085440","265","265","265","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1089536","266","266","266","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1093632","267","267","267","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1097728","268","268","268","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1101824","269","269","269","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1105920","270","270","270","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1110016","271","271","271","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1114112","272","272","272","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1118208","273","273","273","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1122304","274","274","274","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1126400","275","275","275","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1130496","276","276","276","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1134592","277","277","277","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1138688","278","278","278","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1142784","279","279","279","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1146880","280","280","280","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1150976","281","281","281","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1155072","282","282","282","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1159168","283","283","283","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1163264","284","284","284","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1167360","285","285","285","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1171456","286","286","286","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1175552","287","287","287","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1179648","288","288","288","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1183744","289","289","289","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1187840","290","290","290","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1191936","291","291","291","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1196032","292","292","292","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1200128","293","293","293","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1204224","294","294","294","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1208320","295","295","295","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1212416","296","296","296","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1216512","297","297","297","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1220608","298","298","298","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1224704","299","299","299","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1228800","300","300","300","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1232896","301","301","301","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1236992","302","302","302","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1241088","303","303","303","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1245184","304","304","304","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1249280","305","305","305","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1253376","306","306","306","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1257472","307","307","307","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1261568","308","308","308","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1265664","309","309","309","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1269760","310","310","310","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1273856","311","311","311","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1277952","312","312","312","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1282048","313","313","313","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1286144","314","314","314","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1290240","315","315","315","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1294336","316","316","316","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1298432","317","317","317","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1302528","318","318","318","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1306624","319","319","319","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1310720","320","320","320","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1314816","321","321","321","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1318912","322","322","322","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1323008","323","323","323","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1327104","324","324","324","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1331200","325","325","325","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1335296","326","326","326","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1339392","327","327","327","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1343488","328","328","328","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1347584","329","329","329","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1351680","330","330","330","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1355776","331","331","331","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1359872","332","332","332","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1363968","333","333","333","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1368064","334","334","334","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1372160","335","335","335","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1376256","336","336","336","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1380352","337","337","337","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1384448","338","338","338","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1388544","339","339","339","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1392640","340","340","340","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1396736","341","341","341","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1400832","342","342","342","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1404928","343","343","343","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1409024","344","344","344","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1413120","345","345","345","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1417216","346","346","346","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1421312","347","347","347","0.6739130616188049","0.6739130616188049","0.6739130616188049"
